book_id,keywords
1,"magic,school,orphan,friendship,coming-of-age,wizard"
2,"adventure,dragon,treasure,journey,dwarves,quest"
3,"war,quest,good-vs-evil,fellowship,power,epic"
4,"politics,war,betrayal,dragons,succession,honor"
5,"magic,music,school,legend,memory,storytelling"
6,"heist,rebellion,magic-system,oppression,found-family"
7,"war,honor,gods,magic-system,redemption"
8,"politics,desert,prophecy,empire,ecology,rebellion"
9,"empire,mathematics,prophecy,politics,civilization"
10,"war,training,aliens,child-soldier,strategy"
11,"survival,space,science,humor,isolation"
12,"hacking,artificial-intelligence,cyberpunk,corporate-power,dystopia"
13,"dystopia,control,genetic-engineering,society,conformity"
14,"surveillance,totalitarianism,propaganda,rebellion,control"
15,"censorship,books,rebellion,conformity,society"
16,"totalitarianism,gender,oppression,resistance,survival"
17,"survival,rebellion,violence,televised,teenager"
18,"faction,identity,rebellion,dystopia,coming-of-age"
19,"conspiracy,art,secret-society,religion,puzzle"
20,"marriage,deception,disappearance,unreliable-narrator,suspense"
21,"crime,hacking,family-secrets,investigation,corruption"
22,"psychology,secret,silence,obsession,twist"
23,"isolated-island,murder,suspense,nursery-rhyme,classic-mystery"
24,"train,locked-room,detective,suspects,classic-mystery"
25,"curse,moor,detective,legend,gothic"
26,"detective,partnership,deduction,london,classic-mystery"
27,"class,marriage,wit,society,misunderstanding"
28,"orphan,governess,secret,gothic,love"
29,"obsession,revenge,moor,tragic-love,gothic"
30,"memory,young-love,tragedy,devotion"
31,"caregiving,disability,life-choices,love,tragedy"
32,"prejudice,justice,childhood,south,trial"
33,"wealth,obsession,jazz-age,love,tragedy"
34,"obsession,whale,sea,revenge,voyage"
35,"war,aristocracy,ambition,russia,family"
36,"guilt,murder,poverty,morality,russia"
37,"journey,destiny,treasure,spirituality,self-discovery"
38,"survival,faith,ocean,animals,tiger"
39,"betrayal,redemption,war,friendship,afghanistan"
40,"war,books,nazi-germany,death-narrator,resilience"
41,"war,blindness,france,resistance,fate"
42,"war,sisters,resistance,france,sacrifice"
43,"history,evolution,civilization,anthropology,myth"
44,"education,family,survivalism,memoir,resilience"
45,"habits,productivity,self-improvement,psychology,discipline"
46,"psychology,decision-making,cognitive-bias,economics"
47,"haunted-hotel,supernatural,isolation,family,madness"
48,"childhood,friendship,fear,small-town,supernatural"
49,"vampire,gothic,horror,england,classic-horror"
50,"science,creation,monster,ambition,gothic"
