id,title,tags
1,Harry Potter and the Sorcerer's Stone,"fantasy,magic,school,orphan,friendship,coming-of-age,wizard,j.k.-rowling,an orphan boy discovers on his eleventh birthday that he is a wizard and is whisked away to a magical school where he begins to uncover the truth about his parents and a dark force that took them from him."
2,The Hobbit,"fantasy,adventure,dragon,treasure,journey,dwarves,quest,j.r.r.-tolkien,a comfort-loving hobbit is pulled from his quiet life into a sweeping quest across mountains and forests to help a band of dwarves reclaim treasure guarded by a fearsome dragon."
3,The Lord of the Rings,"fantasy,war,quest,good-vs-evil,fellowship,power,epic,j.r.r.-tolkien,a small hobbit is entrusted with a ring of immense power and must journey across a war-torn land to destroy it before a dark lord can use it to enslave the world."
4,A Game of Thrones,"fantasy,politics,war,betrayal,dragons,succession,honor,george-r.r.-martin,noble families scheme and battle for control of a fractured kingdom while an ancient threat gathers unnoticed beyond an immense wall of ice in the north."
5,The Name of the Wind,"fantasy,magic,music,school,legend,memory,storytelling,patrick-rothfuss,a legendary figure living under a false name recounts the story of his impoverished youth, his education in a school of magic, and the mysteries that shaped his infamous reputation."
6,Mistborn: The Final Empire,"fantasy,heist,rebellion,magic-system,oppression,found-family,brandon-sanderson,in a world blanketed by ash under the rule of an immortal tyrant, a street thief with a rare magical gift joins a crew plotting to overthrow the empire."
7,The Way of Kings,"fantasy,war,honor,gods,magic-system,redemption,brandon-sanderson,on a storm-battered world, a fallen surgeon, a broken king, and a reluctant soldier are drawn toward an ancient prophecy of returning god-like warriors."
8,Dune,"science-fiction,politics,desert,prophecy,empire,ecology,rebellion,frank-herbert,a young heir is thrust into a struggle for control of a desert planet that holds the galaxy's most valuable resource, and discovers a destiny tied to prophecy and power."
9,Foundation,"science-fiction,empire,mathematics,prophecy,politics,civilization,isaac-asimov,a mathematician predicts the fall of a galactic empire and establishes a foundation of knowledge meant to shorten the coming dark age, setting in motion a plan spanning centuries."
10,Ender's Game,"science-fiction,war,training,aliens,child-soldier,strategy,orson-scott-card,a gifted child is trained at a military academy in orbit to command humanity's fleet against an alien threat, unaware of how far his training will be pushed."
11,The Martian,"science-fiction,survival,space,science,humor,isolation,andy-weir,an astronaut is stranded alone on mars after his crew presumes him dead and must use his engineering knowledge to survive until a rescue can reach him."
12,Neuromancer,"science-fiction,hacking,artificial-intelligence,cyberpunk,corporate-power,dystopia,william-gibson,a washed-up computer hacker is hired for one last job that pulls him into a dangerous conspiracy involving artificial intelligence and corporate power."
13,Brave New World,"science-fiction,dystopia,control,genetic-engineering,society,conformity,aldous-huxley,in a future society engineered for stability and pleasure, a visitor from outside the system forces its citizens to confront what they have given up for comfort."
14,1984,"dystopian,surveillance,totalitarianism,propaganda,rebellion,control,george-orwell,a low-ranking worker for a totalitarian government begins to question the party's control over truth, history, and thought, risking everything for a fragment of freedom."
15,Fahrenheit 451,"dystopian,censorship,books,rebellion,conformity,society,ray-bradbury,in a society where books are outlawed and burned, a fireman tasked with destroying them begins to question everything he has been taught to believe."
16,The Handmaid's Tale,"dystopian,totalitarianism,gender,oppression,resistance,survival,margaret-atwood,in a totalitarian state built on the ruins of the united states, a woman forced into reproductive servitude searches for a way to reclaim her identity and freedom."
17,The Hunger Games,"dystopian,survival,rebellion,violence,televised,teenager,suzanne-collins,a teenage girl volunteers to take her sister's place in a televised fight to the death, becoming an unlikely symbol of rebellion against an oppressive government."
18,Divergent,"dystopian,faction,identity,rebellion,dystopia,coming-of-age,veronica-roth,in a rigidly divided society, a girl discovers she does not fit into any single faction and must hide her nature while a conspiracy threatens to tear the city apart."
19,The Da Vinci Code,"thriller,conspiracy,art,secret-society,religion,puzzle,dan-brown,a symbologist is pulled into a murder investigation that uncovers a centuries-old secret society and a conspiracy hidden within famous works of art."
20,Gone Girl,"thriller,marriage,deception,disappearance,unreliable-narrator,suspense,gillian-flynn,when a woman vanishes on her wedding anniversary, suspicion falls on her husband as shifting perspectives reveal a marriage built on deception."
21,The Girl with the Dragon Tattoo,"thriller,crime,hacking,family-secrets,investigation,corruption,stieg-larsson,a disgraced journalist and a brilliant hacker team up to investigate a decades-old disappearance that exposes a family's dark secrets."
22,The Silent Patient,"thriller,psychology,secret,silence,obsession,twist,alex-michaelides,a psychotherapist becomes obsessed with treating a woman who shot her husband and then never spoke again, determined to uncover the truth behind her silence."
23,And Then There Were None,"mystery,isolated-island,murder,suspense,nursery-rhyme,classic-mystery,agatha-christie,ten strangers are lured to an isolated island where they are killed one by one, each death matching an old nursery rhyme with no way to identify the killer."
24,Murder on the Orient Express,"mystery,train,locked-room,detective,suspects,classic-mystery,agatha-christie,a famous detective aboard a snowbound train must solve a murder committed in a locked compartment, with every passenger a suspect."
25,The Hound of the Baskervilles,"mystery,curse,moor,detective,legend,gothic,arthur-conan-doyle,a detective and his companion investigate a legendary curse said to haunt a wealthy family on the fog-covered moors of devon."
26,Sherlock Holmes: A Study in Scarlet,"mystery,detective,partnership,deduction,london,classic-mystery,arthur-conan-doyle,a detective with unmatched powers of observation partners with a former army doctor to solve a baffling murder in the streets of london."
27,Pride and Prejudice,"romance,class,marriage,wit,society,misunderstanding,jane-austen,a sharp-witted young woman clashes with a proud and wealthy gentleman, and both must overcome pride and misunderstanding before they can find happiness."
28,Jane Eyre,"romance,orphan,governess,secret,gothic,love,charlotte-bronte,an orphaned governess falls in love with her brooding employer, only to discover a devastating secret hidden within his household."
29,Wuthering Heights,"romance,obsession,revenge,moor,tragic-love,gothic,emily-bronte,a passionate and destructive love story unfolds across two generations on the windswept moors, driven by obsession, revenge, and loss."
30,The Notebook,"romance,memory,young-love,tragedy,devotion,nicholas-sparks,an elderly man reads a story of young love to a woman with memory loss, slowly revealing that the story is their own."
31,Me Before You,"romance,caregiving,disability,life-choices,love,tragedy,jojo-moyes,a free-spirited young woman takes a job caring for a paralyzed former businessman and unexpectedly changes both of their outlooks on life."
32,To Kill a Mockingbird,"classic,prejudice,justice,childhood,south,trial,harper-lee,a young girl in a small southern town watches her father defend a black man falsely accused of a crime, learning hard lessons about justice and prejudice."
33,The Great Gatsby,"classic,wealth,obsession,jazz-age,love,tragedy,f.-scott-fitzgerald,a mysterious millionaire's obsession with a lost love unravels the glamour and moral emptiness of a wealthy community during the jazz age."
34,Moby Dick,"classic,obsession,whale,sea,revenge,voyage,herman-melville,a sailor joins a whaling voyage led by a captain consumed by his obsessive hunt for the great white whale that once maimed him."
35,War and Peace,"classic,war,aristocracy,ambition,russia,family,leo-tolstoy,the lives of several aristocratic families intertwine against the backdrop of the napoleonic wars, exploring love, ambition, and the search for meaning."
36,Crime and Punishment,"classic,guilt,murder,poverty,morality,russia,fyodor-dostoevsky,a destitute former student commits a murder he believes is morally justified, and is slowly consumed by guilt as an investigator closes in."
37,The Alchemist,"fiction,journey,destiny,treasure,spirituality,self-discovery,paulo-coelho,a young shepherd travels from spain to the egyptian desert in search of a treasure, discovering along the way that the journey itself holds the greater reward."
38,Life of Pi,"fiction,survival,faith,ocean,animals,tiger,yann-martel,a boy stranded on a lifeboat in the pacific ocean must survive alongside a bengal tiger, testing the limits of faith, fear, and endurance."
39,The Kite Runner,"fiction,betrayal,redemption,war,friendship,afghanistan,khaled-hosseini,a man haunted by a childhood betrayal in afghanistan returns years later for a chance at redemption amid a country transformed by war."
40,The Book Thief,"historical-fiction,war,books,nazi-germany,death-narrator,resilience,markus-zusak,narrated by death, the story follows a young girl in nazi germany who steals books and shares them with others as the world around her collapses into war."
41,All the Light We Cannot See,"historical-fiction,war,blindness,france,resistance,fate,anthony-doerr,a blind french girl and a german soldier boy have their paths converge in occupied france during the chaos of the second world war."
42,The Nightingale,"historical-fiction,war,sisters,resistance,france,sacrifice,kristin-hannah,two sisters in nazi-occupied france choose vastly different paths of resistance and survival as war upends everything they know."
43,Sapiens: A Brief History of Humankind,"nonfiction,history,evolution,civilization,anthropology,myth,yuval-noah-harari,a sweeping account of how homo sapiens rose from an unremarkable species to dominate the planet through shared myths, cooperation, and revolutions in thought."
44,Educated,"nonfiction,education,family,survivalism,memoir,resilience,tara-westover,a woman raised in a strict survivalist family with no formal schooling recounts her journey to eventually earning a doctorate from cambridge."
45,Atomic Habits,"self-help,habits,productivity,self-improvement,psychology,discipline,james-clear,a practical guide to building good habits and breaking bad ones through small, consistent changes that compound into remarkable results over time."
46,"Thinking, Fast and Slow","nonfiction,psychology,decision-making,cognitive-bias,economics,daniel-kahneman,a nobel laureate explores the two systems that drive the way people think, revealing the biases and shortcuts behind everyday decisions."
47,The Shining,"horror,haunted-hotel,supernatural,isolation,family,madness,stephen-king,a family caretaking an isolated hotel for the winter is slowly consumed by the supernatural forces haunting its halls, with devastating consequences."
48,It,"horror,childhood,friendship,fear,small-town,supernatural,stephen-king,a group of childhood friends reunite as adults to confront a shape-shifting evil that has terrorized their town for generations."
49,Dracula,"horror,vampire,gothic,horror,england,classic-horror,bram-stoker,a young solicitor's visit to a remote castle unleashes an ancient vampire whose arrival in england threatens everyone he encounters."
50,Frankenstein,"horror,science,creation,monster,ambition,gothic,mary-shelley,a scientist's experiment to create life results in a being that turns against him, raising questions about ambition, responsibility, and what it means to be human."
