book_id,title,author,genre,description,publisher
1,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"An orphan boy discovers on his eleventh birthday that he is a wizard and is whisked away to a magical school where he begins to uncover the truth about his parents and a dark force that took them from him.",Bloomsbury
2,The Hobbit,J.R.R. Tolkien,Fantasy,"A comfort-loving hobbit is pulled from his quiet life into a sweeping quest across mountains and forests to help a band of dwarves reclaim treasure guarded by a fearsome dragon.",George Allen and Unwin
3,The Lord of the Rings,J.R.R. Tolkien,Fantasy,"A small hobbit is entrusted with a ring of immense power and must journey across a war-torn land to destroy it before a dark lord can use it to enslave the world.",George Allen and Unwin
4,A Game of Thrones,George R.R. Martin,Fantasy,"Noble families scheme and battle for control of a fractured kingdom while an ancient threat gathers unnoticed beyond an immense wall of ice in the north.",Bantam Spectra
5,The Name of the Wind,Patrick Rothfuss,Fantasy,"A legendary figure living under a false name recounts the story of his impoverished youth, his education in a school of magic, and the mysteries that shaped his infamous reputation.",DAW Books
6,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,"In a world blanketed by ash under the rule of an immortal tyrant, a street thief with a rare magical gift joins a crew plotting to overthrow the empire.",Tor Books
7,The Way of Kings,Brandon Sanderson,Fantasy,"On a storm-battered world, a fallen surgeon, a broken king, and a reluctant soldier are drawn toward an ancient prophecy of returning god-like warriors.",Tor Books
8,Dune,Frank Herbert,Science Fiction,"A young heir is thrust into a struggle for control of a desert planet that holds the galaxy's most valuable resource, and discovers a destiny tied to prophecy and power.",Chilton Books
9,Foundation,Isaac Asimov,Science Fiction,"A mathematician predicts the fall of a galactic empire and establishes a foundation of knowledge meant to shorten the coming dark age, setting in motion a plan spanning centuries.",Gnome Press
10,Ender's Game,Orson Scott Card,Science Fiction,"A gifted child is trained at a military academy in orbit to command humanity's fleet against an alien threat, unaware of how far his training will be pushed.",Tor Books
11,The Martian,Andy Weir,Science Fiction,"An astronaut is stranded alone on Mars after his crew presumes him dead and must use his engineering knowledge to survive until a rescue can reach him.",Crown Publishing
12,Neuromancer,William Gibson,Science Fiction,"A washed-up computer hacker is hired for one last job that pulls him into a dangerous conspiracy involving artificial intelligence and corporate power.",Ace Books
13,Brave New World,Aldous Huxley,Science Fiction,"In a future society engineered for stability and pleasure, a visitor from outside the system forces its citizens to confront what they have given up for comfort.",Chatto and Windus
14,1984,George Orwell,Dystopian,"A low-ranking worker for a totalitarian government begins to question the Party's control over truth, history, and thought, risking everything for a fragment of freedom.",Secker and Warburg
15,Fahrenheit 451,Ray Bradbury,Dystopian,"In a society where books are outlawed and burned, a fireman tasked with destroying them begins to question everything he has been taught to believe.",Ballantine Books
16,The Handmaid's Tale,Margaret Atwood,Dystopian,"In a totalitarian state built on the ruins of the United States, a woman forced into reproductive servitude searches for a way to reclaim her identity and freedom.",McClelland and Stewart
17,The Hunger Games,Suzanne Collins,Dystopian,"A teenage girl volunteers to take her sister's place in a televised fight to the death, becoming an unlikely symbol of rebellion against an oppressive government.",Scholastic
18,Divergent,Veronica Roth,Dystopian,"In a rigidly divided society, a girl discovers she does not fit into any single faction and must hide her nature while a conspiracy threatens to tear the city apart.",Katherine Tegen Books
19,The Da Vinci Code,Dan Brown,Thriller,"A symbologist is pulled into a murder investigation that uncovers a centuries-old secret society and a conspiracy hidden within famous works of art.",Doubleday
20,Gone Girl,Gillian Flynn,Thriller,"When a woman vanishes on her wedding anniversary, suspicion falls on her husband as shifting perspectives reveal a marriage built on deception.",Crown Publishing
21,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,"A disgraced journalist and a brilliant hacker team up to investigate a decades-old disappearance that exposes a family's dark secrets.",Norstedts Forlag
22,The Silent Patient,Alex Michaelides,Thriller,"A psychotherapist becomes obsessed with treating a woman who shot her husband and then never spoke again, determined to uncover the truth behind her silence.",Celadon Books
23,And Then There Were None,Agatha Christie,Mystery,"Ten strangers are lured to an isolated island where they are killed one by one, each death matching an old nursery rhyme with no way to identify the killer.",Collins Crime Club
24,Murder on the Orient Express,Agatha Christie,Mystery,"A famous detective aboard a snowbound train must solve a murder committed in a locked compartment, with every passenger a suspect.",Collins Crime Club
25,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,"A detective and his companion investigate a legendary curse said to haunt a wealthy family on the fog-covered moors of Devon.",George Newnes
26,Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,Mystery,"A detective with unmatched powers of observation partners with a former army doctor to solve a baffling murder in the streets of London.",Ward Lock and Co
27,Pride and Prejudice,Jane Austen,Romance,"A sharp-witted young woman clashes with a proud and wealthy gentleman, and both must overcome pride and misunderstanding before they can find happiness.",T. Egerton
28,Jane Eyre,Charlotte Bronte,Romance,"An orphaned governess falls in love with her brooding employer, only to discover a devastating secret hidden within his household.","Smith, Elder and Co"
29,Wuthering Heights,Emily Bronte,Romance,"A passionate and destructive love story unfolds across two generations on the windswept moors, driven by obsession, revenge, and loss.",Thomas Cautley Newby
30,The Notebook,Nicholas Sparks,Romance,"An elderly man reads a story of young love to a woman with memory loss, slowly revealing that the story is their own.",Warner Books
31,Me Before You,Jojo Moyes,Romance,"A free-spirited young woman takes a job caring for a paralyzed former businessman and unexpectedly changes both of their outlooks on life.",Penguin Books
32,To Kill a Mockingbird,Harper Lee,Classic,"A young girl in a small Southern town watches her father defend a Black man falsely accused of a crime, learning hard lessons about justice and prejudice.",J.B. Lippincott and Co
33,The Great Gatsby,F. Scott Fitzgerald,Classic,"A mysterious millionaire's obsession with a lost love unravels the glamour and moral emptiness of a wealthy community during the Jazz Age.",Charles Scribner's Sons
34,Moby Dick,Herman Melville,Classic,"A sailor joins a whaling voyage led by a captain consumed by his obsessive hunt for the great white whale that once maimed him.",Harper and Brothers
35,War and Peace,Leo Tolstoy,Classic,"The lives of several aristocratic families intertwine against the backdrop of the Napoleonic Wars, exploring love, ambition, and the search for meaning.",The Russian Messenger
36,Crime and Punishment,Fyodor Dostoevsky,Classic,"A destitute former student commits a murder he believes is morally justified, and is slowly consumed by guilt as an investigator closes in.",The Russian Messenger
37,The Alchemist,Paulo Coelho,Fiction,"A young shepherd travels from Spain to the Egyptian desert in search of a treasure, discovering along the way that the journey itself holds the greater reward.",HarperTorch
38,Life of Pi,Yann Martel,Fiction,"A boy stranded on a lifeboat in the Pacific Ocean must survive alongside a Bengal tiger, testing the limits of faith, fear, and endurance.",Knopf Canada
39,The Kite Runner,Khaled Hosseini,Fiction,"A man haunted by a childhood betrayal in Afghanistan returns years later for a chance at redemption amid a country transformed by war.",Riverhead Books
40,The Book Thief,Markus Zusak,Historical Fiction,"Narrated by Death, the story follows a young girl in Nazi Germany who steals books and shares them with others as the world around her collapses into war.",Picador
41,All the Light We Cannot See,Anthony Doerr,Historical Fiction,"A blind French girl and a German soldier boy have their paths converge in occupied France during the chaos of the Second World War.",Scribner
42,The Nightingale,Kristin Hannah,Historical Fiction,"Two sisters in Nazi-occupied France choose vastly different paths of resistance and survival as war upends everything they know.",St. Martin's Press
43,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Nonfiction,"A sweeping account of how Homo sapiens rose from an unremarkable species to dominate the planet through shared myths, cooperation, and revolutions in thought.",Harvill Secker
44,Educated,Tara Westover,Nonfiction,"A woman raised in a strict survivalist family with no formal schooling recounts her journey to eventually earning a doctorate from Cambridge.",Random House
45,Atomic Habits,James Clear,Self-Help,"A practical guide to building good habits and breaking bad ones through small, consistent changes that compound into remarkable results over time.",Avery
46,"Thinking, Fast and Slow",Daniel Kahneman,Nonfiction,"A Nobel laureate explores the two systems that drive the way people think, revealing the biases and shortcuts behind everyday decisions.","Farrar, Straus and Giroux"
47,The Shining,Stephen King,Horror,"A family caretaking an isolated hotel for the winter is slowly consumed by the supernatural forces haunting its halls, with devastating consequences.",Doubleday
48,It,Stephen King,Horror,"A group of childhood friends reunite as adults to confront a shape-shifting evil that has terrorized their town for generations.",Viking Press
49,Dracula,Bram Stoker,Horror,"A young solicitor's visit to a remote castle unleashes an ancient vampire whose arrival in England threatens everyone he encounters.",Archibald Constable and Company
50,Frankenstein,Mary Shelley,Horror,"A scientist's experiment to create life results in a being that turns against him, raising questions about ambition, responsibility, and what it means to be human.","Lackington, Hughes, Harding, Mavor and Jones"
